parameter,ratio,value,score
收益,0.8,61.504,47.1856
收益,0.9,69.192,50.645199999999996
收益,1.0,76.88,54.1048
收益,1.1,84.568,57.5644
收益,1.2,92.25599999999999,61.023999999999994
稳定性,0.8,55.168,49.2776
稳定性,0.9,62.06399999999999,51.6912
稳定性,1.0,68.96,54.1048
稳定性,1.1,75.856,56.5184
稳定性,1.2,82.752,58.931999999999995
成本,0.8,22.384,54.77632
成本,0.9,25.182000000000002,54.44056
成本,1.0,27.98,54.1048
成本,1.1,30.778000000000002,53.76904
成本,1.2,33.576,53.433279999999996
风险,0.8,12.696,54.35871999999999
风险,0.9,14.283,54.231759999999994
风险,1.0,15.87,54.1048
风险,1.1,17.457,53.97783999999999
风险,1.2,19.043999999999997,53.85088
