方案,收益,稳定性,成本,风险,score,rank
S07,76.88,68.96,27.98,15.87,0.7948969494927969,1
S05,86.38,66.77,27.62,21.02,0.7742089135861556,2
S06,77.08,74.39,36.05,16.86,0.6372329328638529,3
S03,61.04,71.29,30.72,22.53,0.6240303344339342,4
S11,87.2,68.14,29.69,30.92,0.6118900933614855,5
S12,85.15,68.81,39.11,15.92,0.5527069490173778,6
S01,72.07,69.49,38.85,17.4,0.508213472383584,7
S10,77.74,75.25,41.83,23.6,0.42755825250358914,8
S09,77.32,66.18,40.0,22.97,0.40247781063052324,9
S02,82.41,69.32,45.95,17.71,0.3934544057497456,10
S04,93.96,65.09,43.09,24.38,0.38209403894777744,11
S08,83.04,59.0,43.11,27.22,0.2620723287918505,12
