route_id,vehicle_type,power,path,departure,return,customers,load_weight_kg,load_volume_m3,capacity_weight_kg,capacity_volume_m3,distance_km,cost,emissions_kg,late_minutes
1,EV-3000,electric,0-62-5-0,18:30,21:00,2,2932.6741,8.62165875,3000.0,15.0,101.32221098437421,478.78032483308033,20.079333930950696,0.0
2,EV-3000,electric,0-33-62-0,10:00,20:24,2,2728.3402,7.68908875,3000.0,15.0,132.97194677618018,622.1131159517407,26.895034480194084,0.0
3,EV-3000,electric,0-11-62-0,10:15,20:24,2,2863.83865,8.49084875,3000.0,15.0,122.5918943471854,612.1416162837729,24.85347185913043,0.4073309111487333
4,EV-3000,electric,0-13-3-62-0,11:00,20:24,3,2976.1785,8.29192875,3000.0,15.0,138.0616539167586,599.785392152879,28.137448988858452,3.808521671246581
5,EV-3000,electric,0-10-0,19:00,21:07,1,2819.98875,10.9181175,3000.0,15.0,98.2773011746724,475.8600533225626,19.33502236644563,0.0
6,EV-3000,electric,0-6-97-95-80-10-0,10:45,20:53,5,2691.5775500000004,8.8775225,3000.0,15.0,247.9236940218772,628.8370141632716,48.4409394529101,0.0
7,EV-3000,electric,0-6-92-0,10:45,15:37,2,2999.07785,7.901824999999999,3000.0,15.0,92.9398358951123,491.5274465251809,18.828091371677495,0.0
8,EV-3000,electric,0-76-6-90-89-19-98-78-0,09:30,22:38,7,2869.48615,8.0328,3000.0,15.0,261.0046109703319,699.0772394814579,49.72064192427087,4.308628136267998
9,EV-3000,electric,0-85-76-11-78-0,09:15,21:33,4,2825.9417,8.00107,3000.0,15.0,133.74822587733223,647.8218197538497,25.35109119791729,0.0
10,EV-3000,electric,0-16-37-31-0,08:00,18:06,3,2907.3559333333333,7.160923333333334,3000.0,15.0,163.5848514413344,610.752200960556,33.792295688091755,5.8100080061879
11,EV-1250,electric,0-31-0,16:30,18:55,1,1128.6034666666667,2.574211666666667,1250.0,8.5,105.2171004995292,480.8486302991644,20.606498501707513,0.0
12,EV-1250,electric,0-31-0,16:30,18:55,1,1128.6034666666667,2.574211666666667,1250.0,8.5,105.2171004995292,480.8486302991644,20.606498501707513,0.0
13,EV-1250,electric,0-31-0,16:30,18:55,1,1128.6034666666667,2.574211666666667,1250.0,8.5,105.2171004995292,480.8486302991644,20.606498501707513,0.0
14,EV-1250,electric,0-31-0,16:30,18:55,1,1128.6034666666667,2.574211666666667,1250.0,8.5,105.2171004995292,480.8486302991644,20.606498501707513,0.0
15,EV-1250,electric,0-12-0,14:30,16:31,1,863.4208000000001,2.249725,1250.0,8.5,69.2528374292132,451.6112191726182,13.154539620726847,0.0
16,EV-1250,electric,0-12-0,14:30,16:31,1,863.4208000000001,2.249725,1250.0,8.5,69.2528374292132,451.6112191726182,13.154539620726847,0.0
17,EV-1250,electric,0-53-0,17:45,18:50,1,1160.6409833333335,3.1264566666666664,1250.0,8.5,41.4272450198718,431.92242347013604,8.136308172125329,0.0
