route_id,vehicle_type,power,sequence,customer,from_customer,leg_distance_km,arrival_raw_min,service_start_min,departure_min,wait_min,late_min,delivered_weight_kg,delivered_volume_m3,remaining_weight_before_kg,remaining_volume_before_m3,leg_energy,arrival_raw,service_start,departure,in_green_zone
1,EV-3000,electric,1,3,0,69.4331203273497,870.3343077692764,873.0,893.0,2.6656922307236073,0.0,235.0181,0.70348,2955.9611,10.592075,31.489004425801188,14:30,14:33,14:53,True
1,EV-3000,electric,2,95,3,21.5942182175245,925.6653416116235,925.6653416116235,945.6653416116235,0.0,0.0,109.35,0.29746,2720.943,9.888594999999999,9.630571520227214,15:26,15:26,15:46,False
1,EV-3000,electric,3,10,95,30.5923121234925,997.5167180921193,1180.0,1200.0,182.48328190788072,0.0,1879.9925,7.278745,2611.5930000000003,9.591135,13.533485733340132,16:38,19:40,20:00,True
1,EV-3000,electric,4,5,10,2.91019945962227,1203.157540100856,1203.157540100856,1223.157540100856,0.0,0.0,731.6005,2.31239,731.6005000000002,2.3123899999999997,1.0651441993768105,20:03,20:03,20:23,True
2,EV-3000,electric,1,6,0,40.6381341683653,776.253882663461,776.253882663461,796.253882663461,0.0,0.0,1118.4108,2.9957999999999996,2998.4033,10.274545,18.86618003073641,12:56,12:56,13:16,True
2,EV-3000,electric,2,10,6,4.63195922390589,801.2795165411165,1180.0,1200.0,378.72048345888345,0.0,1879.9925,7.278745,1879.9924999999998,7.278745000000001,1.9045893233471503,13:21,19:40,20:00,True
3,EV-3000,electric,1,6,0,40.6381341683653,776.253882663461,776.253882663461,796.253882663461,0.0,0.0,2236.8216,5.991599999999999,2999.07785,7.901824999999999,18.867279975997597,12:56,12:56,13:16,True
3,EV-3000,electric,2,92,6,34.8179655291996,834.0310604528277,887.0,907.0,52.96893954717234,0.0,762.2562499999999,1.910225,762.2562499999999,1.9102249999999996,12.785502319473173,13:54,14:47,15:07,False
4,EV-3000,electric,1,11,0,57.3831973821543,716.223657441761,716.223657441761,736.223657441761,0.0,0.0,1325.5301,4.36316,2443.9409,7.35896,25.081942069239243,11:56,11:56,12:16,True
4,EV-3000,electric,2,6,11,11.6354202237926,784.8664928816784,784.8664928816784,804.8664928816784,0.0,5.866492881678369,1118.4108,2.9957999999999996,1118.4108,2.9958,4.564032599562311,13:05,13:05,13:25,True
5,EV-3000,electric,1,8,0,33.0274482720554,685.9787258848397,685.9787258848397,705.9787258848397,0.0,0.0,1178.0232369999999,3.602702,2922.344837,8.144162,15.01674677381272,11:26,11:26,11:46,True
5,EV-3000,electric,2,97,8,24.6739966925644,793.6533691722476,822.0,842.0,28.346630827752392,0.0,17.48,0.04201,1744.3216000000002,4.54146,10.244916970696917,13:14,13:42,14:02,False
5,EV-3000,electric,3,12,97,21.0429088534639,864.8313658446262,895.0,915.0,30.168634155373752,0.0,1726.8416000000002,4.49945,1726.8416000000002,4.4994499999999995,8.525725153047171,14:25,14:55,15:15,True
6,EV-3000,electric,1,8,0,33.0274482720554,685.9787258848397,685.9787258848397,705.9787258848397,0.0,0.0,2356.0464739999998,7.205404,2356.0464739999998,7.205404,14.276871467991954,11:26,11:26,11:46,True
7,EV-3000,electric,1,8,0,33.0274482720554,685.9787258848397,685.9787258848397,705.9787258848397,0.0,0.0,2356.0464739999998,7.205404,2356.0464739999998,7.205404,14.276871467991954,11:26,11:26,11:46,True
8,EV-3000,electric,1,8,0,33.0274482720554,685.9787258848397,685.9787258848397,705.9787258848397,0.0,0.0,2356.0464739999998,7.205404,2356.0464739999998,7.205404,14.276871467991954,11:26,11:26,11:46,True
9,EV-3000,electric,1,8,0,33.0274482720554,685.9787258848397,685.9787258848397,705.9787258848397,0.0,0.0,2356.0464739999998,7.205404,2356.0464739999998,7.205404,14.276871467991954,11:26,11:26,11:46,True
10,EV-3000,electric,1,9,0,40.4299129933596,621.6608694802705,621.6608694802705,641.6608694802705,0.0,0.0,1712.8728666666666,4.433813333333333,2890.8961036666665,8.036515333333334,18.26373267720327,10:22,10:22,10:42,True
10,EV-3000,electric,2,8,9,5.31557681408088,650.6703217075262,650.6703217075262,670.6703217075262,0.0,0.0,1178.0232369999999,3.602702,1178.0232369999999,3.6027020000000007,2.0500705201353666,10:51,10:51,11:11,True
11,EV-1250,electric,1,33,0,57.715000446938,650.957627876166,650.957627876166,670.957627876166,0.0,0.0,527.2666,1.37982,1067.3534,2.659,25.351578028393675,10:51,10:51,11:11,False
11,EV-1250,electric,2,13,33,25.9796905348901,780.0484893112059,780.0484893112059,800.0484893112059,0.0,0.0,540.0867999999999,1.27918,540.0867999999999,1.2791799999999998,10.378420513147082,13:00,13:00,13:20,True
12,EV-1250,electric,1,7,0,62.2027270678296,847.4893964569579,847.4893964569579,867.4893964569579,0.0,0.0,1243.8721333333333,3.060325,1243.8721333333333,3.060325,28.281689686756447,14:07,14:07,14:27,True
13,EV-1250,electric,1,7,0,62.2027270678296,847.4893964569579,847.4893964569579,867.4893964569579,0.0,0.0,1243.8721333333333,3.060325,1243.8721333333333,3.060325,28.281689686756447,14:07,14:07,14:27,True
14,EV-1250,electric,1,7,0,62.2027270678296,847.4893964569579,847.4893964569579,867.4893964569579,0.0,0.0,1243.8721333333333,3.060325,1243.8721333333333,3.060325,28.281689686756447,14:07,14:07,14:27,True
15,EV-1250,electric,1,7,0,62.2027270678296,847.4893964569579,847.4893964569579,867.4893964569579,0.0,0.0,1243.8721333333333,3.060325,1243.8721333333333,3.060325,28.281689686756447,14:07,14:07,14:27,True
16,EV-1250,electric,1,7,0,62.2027270678296,847.4893964569579,847.4893964569579,867.4893964569579,0.0,0.0,1243.8721333333333,3.060325,1243.8721333333333,3.060325,28.281689686756447,14:07,14:07,14:27,True
17,EV-1250,electric,1,7,0,62.2027270678296,847.4893964569579,847.4893964569579,867.4893964569579,0.0,0.0,1243.8721333333333,3.060325,1243.8721333333333,3.060325,28.281689686756447,14:07,14:07,14:27,True
18,EV-1250,electric,1,89,0,85.174319314423,1035.5960064894282,1035.5960064894282,1055.5960064894282,0.0,2.5960064894281913,46.248,0.2733,1103.4764666666667,3.7597966666666665,37.76858234278406,17:16,17:16,17:36,False
18,EV-1250,electric,2,98,89,32.2995921854706,1090.6407719709514,1158.0,1178.0,67.35922802904861,0.0,25.5,0.0646,1057.2284666666667,3.4864966666666666,14.116419510996488,18:11,19:18,19:38,False
18,EV-1250,electric,3,19,98,24.6621156686858,1204.7581725157531,1204.7581725157531,1224.7581725157531,0.0,0.0,9.3722,0.07403,1031.7284666666667,3.4218966666666666,10.719107737618469,20:05,20:05,20:25,False
18,EV-1250,electric,4,71,19,24.8441932364609,1251.7138975462713,1251.7138975462713,1271.7138975462713,0.0,6.713897546271255,1022.3562666666667,3.3478666666666665,1022.3562666666667,3.3478666666666665,10.776260046738328,20:52,20:52,21:12,False
19,EV-1250,electric,1,90,0,70.1711760549331,901.7731797541239,901.7731797541239,921.7731797541239,0.0,0.0,100.6088,0.22653,1122.9650666666666,3.5743966666666664,31.106153195738006,15:02,15:02,15:22,False
19,EV-1250,electric,2,71,90,16.6163332298803,949.936456414938,1159.0,1179.0,209.063543585062,0.0,1022.3562666666667,3.3478666666666665,1022.3562666666667,3.3478666666666665,7.246950419685304,15:50,19:19,19:39,False
20,EV-1250,electric,1,71,0,74.7011425395969,1161.0500642382606,1161.0500642382606,1181.0500642382606,0.0,0.0,1022.3562666666667,3.3478666666666665,1022.3562666666667,3.3478666666666665,32.40189488680038,19:21,19:21,19:41,False
21,EV-1250,electric,1,62,0,48.8763574638369,1163.0304059282137,1163.0304059282137,1183.0304059282137,0.0,0.0,1100.5368,3.154634375,1100.5368,3.154634375,21.561102392456444,19:23,19:23,19:43,False
22,EV-1250,electric,1,62,0,48.8763574638369,1163.0304059282137,1163.0304059282137,1183.0304059282137,0.0,0.0,1100.5368,3.154634375,1100.5368,3.154634375,21.561102392456444,19:23,19:23,19:43,False
23,EV-1250,electric,1,62,0,48.8763574638369,1163.0304059282137,1163.0304059282137,1183.0304059282137,0.0,0.0,1100.5368,3.154634375,1100.5368,3.154634375,21.561102392456444,19:23,19:23,19:43,False
24,EV-1250,electric,1,62,0,48.8763574638369,1163.0304059282137,1163.0304059282137,1183.0304059282137,0.0,0.0,1100.5368,3.154634375,1100.5368,3.154634375,21.561102392456444,19:23,19:23,19:43,False
25,Fuel-3000,fuel,1,62,0,48.8763574638369,1163.0304059282137,1163.0304059282137,1183.0304059282137,0.0,0.0,2201.0736,6.30926875,2922.85465,8.08646375,17.165524392683697,19:23,19:23,19:43,False
25,Fuel-3000,fuel,2,4,62,13.1829387285998,1197.333775254,1197.333775254,1217.333775254,0.0,0.0,721.78105,1.7771949999999999,721.78105,1.7771949999999999,3.652159214317717,19:57,19:57,20:17,True
26,Fuel-3000,fuel,1,62,0,48.8763574638369,1163.0304059282137,1163.0304059282137,1183.0304059282137,0.0,0.0,2201.0736,6.30926875,2201.0736,6.30926875,15.976814520388603,19:23,19:23,19:43,False
27,Fuel-3000,fuel,1,59,0,82.0772764262805,698.1261822017174,698.1261822017174,718.1261822017174,0.0,0.0,2209.3367,5.8112675000000005,2971.5929499999997,7.7214925,29.461392698329536,11:38,11:38,11:58,False
27,Fuel-3000,fuel,2,92,59,62.6766754698664,837.0386458186042,887.0,907.0,49.96135418139579,0.0,762.2562499999999,1.910225,762.2562499999999,1.9102249999999996,17.918553710320058,13:57,14:47,15:07,False
28,Fuel-3000,fuel,1,59,0,82.0772764262805,698.1261822017174,698.1261822017174,718.1261822017174,0.0,0.0,2209.3367,5.8112675000000005,2209.3367,5.8112675000000005,27.316816335856814,11:38,11:38,11:58,False
29,Fuel-3000,fuel,1,38,0,68.5954097800849,645.966796237432,645.966796237432,665.966796237432,0.0,0.0,630.8663,2.033635,2840.203,7.8449025,24.11305553756568,10:46,10:46,11:06,False
29,Fuel-3000,fuel,2,59,38,22.8713045577933,743.2145775788462,743.2145775788462,763.2145775788462,0.0,0.0,2209.3367,5.8112675000000005,2209.3367,5.8112675,8.061590140528601,12:23,12:23,12:43,False
30,Fuel-3000,fuel,1,38,0,68.5954097800849,645.966796237432,645.966796237432,665.966796237432,0.0,0.0,630.8663,2.033635,2840.203,7.8449025,24.11305553756568,10:46,10:46,11:06,False
30,Fuel-3000,fuel,2,59,38,22.8713045577933,743.2145775788462,743.2145775788462,763.2145775788462,0.0,0.0,2209.3367,5.8112675000000005,2209.3367,5.8112675,8.061590140528601,12:23,12:23,12:43,False
31,Fuel-3000,fuel,1,88,0,15.1899980405674,670.7457593907922,670.7457593907922,690.7457593907922,0.0,0.0,79.6007,0.5374800000000001,2820.9069000000004,7.991407857142858,5.401769738823339,11:11,11:11,11:31,False
31,Fuel-3000,fuel,2,84,88,68.4918876727151,838.4958716526703,974.0,994.0,135.5041283473297,0.0,1605.2619000000002,4.36803,2741.3062000000004,7.453927857142857,24.474747231042667,13:58,16:14,16:34,False
31,Fuel-3000,fuel,3,50,84,21.9975401832391,1027.223370904057,1209.0,1229.0,181.776629095943,0.0,1136.0443,3.0858978571428572,1136.0443000000002,3.0858978571428572,6.501893718012367,17:07,20:09,20:29,False
32,Fuel-3000,fuel,1,24,0,47.091280004406,1101.0936130246719,1101.0936130246719,1121.0936130246719,0.0,5.093613024671868,631.08365,1.4779950000000002,2903.17225,7.649790714285714,16.507368492888734,18:21,18:21,18:41,False
32,Fuel-3000,fuel,2,50,24,35.8488803348137,1159.9893240570195,1209.0,1229.0,49.01067594298047,0.0,2272.0886,6.1717957142857145,2272.0886,6.1717957142857145,11.804145479413801,19:20,20:09,20:29,False
33,Fuel-3000,fuel,1,24,0,47.091280004406,1101.0936130246719,1101.0936130246719,1121.0936130246719,0.0,5.093613024671868,631.08365,1.4779950000000002,2903.17225,7.649790714285714,16.507368492888734,18:21,18:21,18:41,False
33,Fuel-3000,fuel,2,50,24,35.8488803348137,1159.9893240570195,1209.0,1229.0,49.01067594298047,0.0,2272.0886,6.1717957142857145,2272.0886,6.1717957142857145,11.804145479413801,19:20,20:09,20:29,False
34,Fuel-3000,fuel,1,4,0,35.0291721042173,1178.0063350136172,1178.0063350136172,1198.0063350136172,0.0,0.0,721.78105,1.7771949999999999,2993.86965,7.948990714285714,12.386171810016943,19:38,19:38,19:58,True
34,Fuel-3000,fuel,2,50,4,28.1528184832499,1228.551888521664,1228.551888521664,1248.551888521664,0.0,0.0,2272.0886,6.1717957142857145,2272.0886,6.1717957142857145,9.270023552425647,20:29,20:29,20:49,False
